NOME|RTTTL
Alcoholi|Alcoholi:d=8,o=6,b=125:d,c,d,c,d,c,d,d,e,2d,c,d,c,d,c,4d,e,4c,2a.,4p.,d,c,d,c,d,c,d,4d,2d,c,4d.,c,d,4c,2e.,4p,d,c,d,c,d,c,d,4d,4d.,c,c,d,4d,c,4e,e,4c,2a5
Alf|Alf:d=4,o=5,b=180:4f#5,4g5,8a5,4p,8d5,8a5,8f#5,8a5,8g5,8f#5,4e5,8p,4f#5,4g5,8a5,4p,8d5,8a5,8f#5,8b5,8b5,8a5,8b5,8a5,4p,8b5,8c#6,8e6,8d6,8p,8d6,8b5,8d6,8f#6,8e6
AlfredHi|AlfredHi:d=4,o=5,b=125:16c,16p,16f4,8p,8f,32g,32p,16f,32p,16e,32p,16d,32p,16e,8p,16f,32p,16g,8p.,16c,16p,16f4,8p,8f,32g,32p,16f,32p,16e,32p,16d,32p,16e,8p,16f,32p,16g,8p.,16c,16p,16f4,8p,16g#,32p,8c6,16p,16a#,32p,16g#,8p,16c6,32p,8d#6,16p,16c#6,32p,16c6,8p,16d#6,32p,8g6,16p,16f6,32p,16e6,32p,16c#6,32p,16c6,32p,16a#,32p,16g#,32p,16g,32p,8f4
AlfredJ.|AlfredJ.:d=8,o=5,b=125:g,c6,c6,c6,c6,g,g,p,g,a,a,p,a,e,e,p,e,f,d,f,d,a,g,p,g,c,d,e,g,4c6,p,g,c6,c6,c6,c6,g,g,p,g,a,a,p,a,e,e,p,e,f,d,f,d,a,g,p,g,c,d,e,g,4c6,p,c6,c#6,c#6,c#6,c#6,g#,g#,p,g#,a#,a#,a#,a#,f,f,p,f,d#,f,f#,d#,a#,g#,p,g#,c#,d#,f,g#,4c#6,p,g#,c#6,c#6,c#6,c#6,g#,g#
Algeria|Algeria:d=4,o=6,b=112:16d_5,8f.5,16g5,8g_.5,16g_5,8g_.5,16g_5,8g_.5,16g_5,8g_.5,16g5,8g.5,16f5,8f.5,16e5,8f.5,16g5,8g_.5,16a_5,8c.,16c,8c.,16c,8c.,16c,8c.,16a_5,8a_.5,16g_5,8g_5,8g5,8g_.5,16d_5,8f.5,16g5,8g_.5,16g_5,8g_.5,16g_5,8g_.5,16g_5,8g_.5,16g5,8g.5,16f5,8f.5,16e5,8f.5,16g5,8g_.5,16a_5,8c.,16c,8c.,16c,8c.,16c,8c.,16a_5,8a_.5,16g_5,8g_.5,16g5,g_5
Alice Deejay - Better Off Alone |Alice Deejay - Better Off Alone : d=4,o=5,b=125:a,8a,f#,a,a,g#,8e,8e.6,8e.6,8c#6,a,8a,f#,a,a,g#,8e,8d.6,8d.6,8c#6,a,8a,f#,a,a,g#,8e,8e.6,8e.6,8c#6,a,8a,f#,a,a,g#,8d,8d.6,8d.6,8c#6,
Alice Deejay - I Want You Back In My Life |Alice Deejay - I Want You Back In My Life : d=4,o=5,b=140:1c6,8c6,8c6,8e6,8c6,8b,1c.6,8c6,8c6,8e6,8c6,8b,1c6,8g,b,8b,b,c6,1c6,
Alice Deejay - Will I Ever |Alice Deejay - Will I Ever : d=4,o=5,b=125:d,8d,d,d,8p,b,8a,g,p,
Alice Deejay|Alice Deejay:d=4,o=5,b=63:16b,16p,16b,16g#,16p,16b,16p,16b,16p,16a#,16p,16f#,16f#6,32p,16f#6,32p,16d#6,16b,16p,16b,16g#,16p,16b,16p,16b,16p,16a#,16p,16f#,16e6,32p,16e6,32p,16d#6
Alice(To|Alice(To:d=32,o=6,b=56:g#,c,p,c,g,p,c,c,p,f,c,p,d#,c,p,c,d,p,c,c,p,d,d#,p,g#,c,p,c,g,p,c,c,p,f,c,p,d#,c,p,c,d,p,c,c,p,d,d#
Alice|Alice:d=4,o=5,b=56:32g#.6,32c.6,32c.6,32g.6,32c.6,32c.6,32f.6,32c.6,32d#.6,32c.6,32c.6,32d.6,32c.6,32c.6,32d.6,32d#.6,32g#.6,32c.6,32c.6,32g.6,32c.6,32c.6,32f.6,32c.6,32d#.6,32c.6,32c.6,32d.6,32c.6,32c.6,32d.6,32d#.6
Alice|Alice:d=4,o=6,b=160:8g,8b5,8b5,8f#,8b5,8b5,8e,8b5,8d,8e,8e,8d,8e,8e,8c#,8b5,8g,8b5,8b5,8f#,8b5,8b5,8e,8b5,8d,8e,8e,8d,8e,8e,8c#,8b5,8c7,8e,8e,8b,8e,8e,8a,8e,8g,8e,8e,8a,8e,8e,8b,8e,8c7,8e,8e,8b,8e,8e,8a,8e,8g,8e,8e,8a,8e,8e,8g,8e
ALickCha|ALickCha:d=4,o=6,b=160:8d.5,8d.5,8d5,8d_5,p,8p,8e5,p,8p,8f5,8p,8a5,8d5,16d_7,8d5,16d_7,8d5,8d_5,16d_5,8d5,16d_7,8d5,16e7,16p,16e7,16p,16e7,8p,16p,8e.7,16p,32d5,32c_5,32b5,32a_5,32g_5,32g5,16p,32p,c5,32b5,32p,8p,32b5,16p,8p,c5,8p,c5
AliensEx|AliensEx:d=4,o=5,b=125:2e6,f6,e6,d6,p,c6,d6,e6,c6,g6,e6,d6,p,c6,d6,e6,c6,b,c6,2c6,p,e6,c6,b,c6,2c6,p,b,b,c6,c6,2c6,p,b,b,e6,c6
AliensEx|AliensEx:d=4,o=5,b=140:2e6,32p,4f6,4e6,2d6,32p,4c6,4d6,4e6,4c6,4f6,4e6,2d6,8p,4c6,4e6,4c6,4b5,4c6,2c6,8p,4c6,4e6,4c6,4b5,4c6,2c6,2p,2b5,2b5,2c6,2c6,1c6,1p,2b5,2b5,2e6,1c6
AliG|AliG:d=4,o=6,b=125:8a5,16a5,16a5,8a5,16a5,16a5,8a5,16a5,16a5,16c,8a5,16p,8a5,16a5,16a5,8a5,16a5,16a5,8a5,8a5,16c,8a5,16p,8a5,16a5,16a5,8a5,16a5,16a5,8a5,16a5,16a5,16c,8a5,p,8a5,8a5,16a5,16a5,16c,8a5
AliGFeat|AliGFeat:d=4,o=6,b=200:a.,2e.7,8d7,8d7,8d7,8d7,8c7,8c7,b,a.,2e.7,8p,8e7,f7,8f7,e.7,8e7,8e7,8d7,8d7,8d7,2c7,8p,a.,2e.7,8d7,8d7,8d7,c7,b,a.,2e.7,8d7,8d7,8d7,c7,b,a.,e.7
ALittleB|ALittleB:d=16,o=5,b=90:b4,g,g,8f#,8e.,b4,b4,b4,8d,8c.,b4,g,g,8g,8f#.,e,f#,e,8e,4e,g,g,8g,4e,8b4,8d,4c.,p,e,f#,f#,8f#,8f#,g,8f#,8e
ALittleB|ALittleB:d=4,o=6,b=125:16g5,16p,16g5,8p,16g5,16g5,16g5,16g5,16g5,16g5,16p,16f5,8p,16p,16g5,16p,16g5,8p,16g5,16g5,16g5,16g5,16g5,a_5,8p,16g5,16p,16g5,8p,16g5,16g5,16g5,16g5,16g5,16g5,16p,16f5,16p,8d,16c,16p,8c,16d,16p,8a_.5,16p,8g.5
ALittleB|ALittleB:d=4,o=6,b=140:8b5,8a5,8g5,8a5,8g5,8f_5,8g5,8f_5,8e5,16g5,16g5,8f_5,8e5,8g5,e5,16b5,16b5,8b5,8a5,8g5,8a5,g5,8g5,8f_5,8g5,8f_5,8g5,16p,16f_5,e5
ALittleL|ALittleL:d=4,o=6,b=125:16d,16e,16e,16p,8e,16d,8g,16g.,32p,16d,16d,16e,16e,16p,8e,8d,8g5,2p,8p,16d.,32p,8e,8e,16d,16g.,32p,16g,8d,16d,8e,8e,16e,8e,16e.,2p,8p,32p,16d,16e,8e,16e.,32p,16e,16g,16g,8g.,32p,8g,16p,16d,16d,16e,8e,16e.,32p,16e,16g,16g,8g.,32p,8e,16g,32e,32p,16g,16e,16g,16e,16g,8g,8b5,16b5,16b5,16b5,16d,16e,16p,16g.,32p,e
ALittleL|ALittleL:d=4,o=6,b=70:16d_5,16f5,16f5,32d_5,16g_5,16f5,32f5,32d_5,32d_5,16f5,16f5,16d_5,p,16d_5,16f5,16f5,32d_5,16g_5,16f5,16d_.5,16f5,16f5,16d_5,16c5,p,16d_5,16f5,16f5,32d_5,16g_5,16g_.5,16f5,32g_5,32f5,16g_5,32g_5,32f5,32g_5,16f5,16g_.5,16c5,32d_5,16f5,16g_5,16f5,p,32c,16c,16g_5,16f5
ALittleR|ALittleR:d=16,o=5,b=125:4g,4c6,4f6,4e6,4c6,2g.,4g,4c6,4e6,4d6,4b,4c6,b,2a.,p,8c6,a,8c6,a,8d6,8c6,8c6,4p,8c6,a,8c6,a,8c6,8g6,4e6,8d6,2c6,8c6,a,8c6,a,8c6,8c6,a,8c6,a,8c6,8f6,d6,8f6,d6,8f6,8d6,c6,8d6,c6,8d6,2c6
ALittleR|ALittleR:d=8,o=6,b=125:4g5,4c,4f,4e,4c,2g5.,4g5,4c,4e,4d,4b5,2a5.,c,16a5,c,16a5,d,c,c,4p,c,16a5,c,16a5,c,g,4e,d,2c,c,16a5,c,16a5,c,c,16a5,c,16a5,c,f,16d,f,16d,f,d,16c,d,16c,d,2c
Alive|Alive:d=16,o=5,b=90:2f,p,f,8f,8f,g,2a,8p,a,a,a,a,8a,2f,8p,8f,8f,d,8f,4c,8p,c,f,d,f,4f,p,4f,4d,p,f,8f,8f,g,8a,f,8f,8f,g,8a,a,a,a,a,a.,8f.,a,a,a,a,a.,8f.,p,f,f,f,f,8d,4f.,8p,f,e,d,8e,d,4c
Alive|Alive:d=4,o=5,b=100:16c#6,16c#6,8c#6,16p,16f#6,16a#6,16c#7,8d#7,8p,8c#7,8p,8f#6,16p,16f#6,16a#6,16c#7,8d#7,16p,16c#7,16d#7,16d#7,16d#7,16c#7,8c#6
Alive|Alive:d=4,o=6,b=80:8e7,d7,8p.,16e7,8e7,8e7,16g7,a7,8p.,16a7,16a7,16a7,16a7,8a7,e7,8p.,8e7,8e7,16e7,8e7,c7,p.,8e7,d7,8p.,16e7,8e7,8e7,16g7,a7,8p.,16a7,16a7,16a7,16a7,8a7,e7,8p.,16e7,16e7,16e7,16e7,8e7,8e7
Alive|Alive:d=8,o=5,b=125:16a,16p,a,g,4b,b6,g,b,a6,b6,4b,c6,b,a,a,g,a,g,4b,b6,g,b,a6,b6,4b,c6,b,a,a,g,a,16g,16a,4b,b6,g,b,a6,b6,4b,c6,b,a,a,4g,4b,a,a,g,g,a,g,4b,a,g,4a,4a,g,2e,p,16e6,16p,16g6,16p,a6,p,e,g,4a,4a,g,2e
AliveAnd|AliveAnd:d=4,o=6,b=200:d,g5,g5,a5,a5,b5,8b5,d.,d,g5,g5,a5,d.,e.,d,e,2d.,1p,f,d,f,f,2d.,2g.5,1p,d.,e.,d,e,2d.,1p,a#5,g5,g.5,2a5,2g.5
AliveAnd|AliveAnd:d=4,o=6,b=90:16g5,16f_5,16e5,16f_5,16g5,16f_5,16e5,16f_5,16g5,16f_5,8e5,8b,8p,8a,16p,16b,16g,16p,16f_,16p,16e,16p,16b,16p,8a,8p,16g5,16f_5,16e5,16f_5,16g5,16f_5,16e5,16f_5,16g5,16f_5,8e5,8b,8p,8a,16p,16b,16g,16p,16f_,16p,16e,16p,16b,16p
All Saints - Black Coffee |All Saints - Black Coffee : d=4,o=5,b=112:16f#6,16p,8f#6,16g#6,16p,8g#6,16f#6,16p,g#6,p,8f#6,8g#6,a6,g#6,8f#.6,8p,p,2f#6,32f6,32e6,32d#6,d6,8p,16a,16p,16e6,16p,8e6,16f#6,16p,8f#6,1e6,p,16d6,16p,8d6,16e6,16p,e6,1c#6,
All Saints - Pure Shores |All Saints - Pure Shores : d=4,o=5,b=100:8e6,8c#6,g#,8f6,8c#6,8c#6,8e6,8d#6,8c#6,8p,8e6,8d#6,8c#6,8p,8e6,8p,8c#6,8c#6,8e6,8d#6,8d#6,8p,8e6,8d#6,8c#6,p,8p,8f#6,8f6,8f#6,8f6,d#.6,8f6,f6,f6,8c#6,8p,f#6,8c#6,8p,8f#6,8f#6,8f#6,8f6,8c#6,8p,8f#6,8f6,c#6,
All4U|All4U:d=4,o=5,b=112:16b6,16b6,8b6,16b6,16b6,8b6,8g6,16g6,16g6,8g6,8g6,8d6,16d6,16d6,8d6,8d6,16g6,16g6,16d6,8d6,8d6,16g,16g,8d.6,8d6,16d6,8e6,8d6,8p,16g,16g,16g,16g,8a,16a,8a,16a,8c6,8b.
AllAbout|AllAbout:d=4,o=5,b=100:16b,16g#6,16f#6,16f#6,16e6,16f#6,e.6,8p,16b,16g#6,16f#6,8e6,8d#6,8d#6,16c#6,16d#6,8e6,8d#6,16c#6,8g#6,8f#6,16e6,16f#6,e6,p,16e6,8g#6,16b6,16b6,16p,16g#6,8c#.7,16e6,16g#6,16f#6,16f#6,16e6,16f#6,e.6
AllAbout|AllAbout:d=4,o=5,b=140:4f6,4d#6,4c#6,4.c6,32p,2.c#6,16p,32p,4a#,4c6,4c#6,4f6,4d#6,4c#6,2d#6,4f6,4d#6,4c#6,4.c6,32p,2.c#6,16p,32p,4a#,4c6,4c#6,4f6,4d#6,4c#6,2d#6
AllAbout|AllAbout:d=4,o=5,b=140:8c6,8b,8a,8g,2g.,8e,2g,8p,8c6,8b,8a,8g,2a.,8b,2g.,p,8g,g,f,f,8e,f.,8g,2f,8g,g,f,8f,g,2g#,8p,8c6,8b,8a,8g,2g.,8e,g.,p,8c6,8b,8a,8g,2d.6,8e6,2c6,8p,8a,c.6,d6,8c6,8c6,8p,c6,c.6,a,8g,8f,8p,2g.,p,8f,f,e,d,8c,2c.
AllAbout|AllAbout:d=4,o=5,b=160:8d,8e,f,f,8d,8e,8f,f,8d,8d,8e,f,8d,8e,f,f,8d,8e,8f,8f,p,8d,8e,f,8d,8e,g,g,8c,8c,c,c6,2a#,8d,8e,f,f,8d,8e,8f,f,8d,8d,8e,f,8d,8e,f,f,8d,8e,8f,f,8f,8f,8f,f,f,g,g,8c,8c,c,c6,a#,p,8d,8e,f,8f,8e,2d
AllAbout|AllAbout:d=4,o=6,b=160:8d5,8e5,f5,f5,8d5,8e5,8f5,f5,8d5,8d5,8e5,f5,8d5,8e5,f5,f5,8d5,8e5,8f5,8f5,p,8d5,8e5,f5,8d5,8e5,g5,g5,8c5,8c5,c5,c,2a_5,8d5,8e5,f5,f5,8d5,8e5,8f5,f5,8d5,8d5,8e5,f5,8d5,8e5,f5,f5,8d5,8e5,8f5,f5,8f5,8f5,8f5,f5,f5,g5,g5,8c5,8c5,c5,c,a_5,p,8d5,8e5,f5,8f5,8e5,2d5,2p,8p,8d5,8a_5,8a5,g5,8a5,8g5,2f.5,p,8p,8d5,8g5,8f5,e5,8f5,8e5,2d.5,p,8p,8d5,8e5,8d5,e5,8f5,8e5,2d.5
AllAlong|AllAlong:d=16,o=5,b=140:8b,16a,p.,16b,p.,8p,b,8p.,8d6.,p,16a,p.,b,p,2p.,8a,b,p,16d6,p.,p.,8b,8b,8b,2p,8b,16a,p.,b,p,8a,d6,8p.,8b,4p,2p.,8a,b,p,16d6,4p,p.,8b,4b
AllAlong|AllAlong:d=16,o=5,b=140:8b,a,p.,b,8p,b,8p.,8c.,p,a,p.,b,2p.,8a,b,p,d6,p.,8b,8b,8b,2p,8b,a,p.,b,p,8a,d6,8p.,8b,2p.,8a,b,p,d6,p.,8b,4b
AllAngel|AllAngel:d=4,o=6,b=90:8d,8e,8f_,8e,8d5,8d,d5,8c_,8d,8e,8d,8b5,8f_5,8g5,8a5,f_5,f_5,f_5,f_5,g5,g5,g5,g5,8d,8e,8f_,8e,8d5,8d,d5,8c_,8d,8e,8d,8b5,8f_5,8g5,8a5,f_5,f_5,f_5,f_5,g5,g5,g5,g5,8b.5,8b.5,8b5,8b.5,8a.5,8b5,8c_.,8c_.,8c_,8c_.,8b.5,8a5,b5,b5,b5,b5,g5,g5,g5,g5,8b.5,8g.5,8b5,8b.5,8a.5,8b5,8c_.,8c_.,8c_,8c_.,8b.5,8a5,b5,b5,b5,b5,b5,b5,b5,b5
AllApolo|AllApolo:d=16,o=5,b=63:32p,f#,g,f#,a,a,g,8f#,f#,g,f#,d6,d6,c6,8b,f#,g,f#,a,a,g,8f#,f#,g,f#,f#6,f#6,e6,8d6
AllAroun|AllAroun:d=4,o=6,b=140:16f5,8p,16g5,8p,8c5,8d,8p,16e5,8p,16f5,p,32g5,8p,32g,16d,16d7,8p,8f5,8p,16g,1p,32g7,32f7,32f,32f5,8p,16g,8p,8d,8c,8c,p,16f,8p,16c,8b5,p,32g7,32f7,32g7,1p,1f5,1b7,1g7,1p
AllAroun|AllAroun:d=8,o=5,b=160:c6,32p,c6,4b,a,2a,4p,e,c#6,32p,c#6,4b,a,4b,a,2f#,c6,32p,c6,4b,c6,2a,4p,a,a,32p,f#,4a,f#,4a,f#,2e
AllBecau|AllBecau:d=4,o=5,b=125:f,8p,8f,8g,8a,8p,1g,8p,8c.6,16a#,8p,a.,8f,f,8g,2g.,f,8p,8f,8g,8a,8p,2g.,8p,8e,16e,1d.,p,16p,8f,8f,1g.,8p,8a#,8a,1g.
AllByMys|AllByMys:d=32,o=5,b=80:p,8g,d#.,8g,d#.,8g,d#.,8g,d#.,8g#,d#.,8g#,d#.,8g#,d#.,8g#,d#.,8g,d#.,8g,d#.,8g,d#.,8g,d#.,8g#,d#.,8g#,d#.,8g#,d#.,8g#,d#.
AlleKleu|AlleKleu:d=4,o=5,b=112:8b.,16b,8p,a,8a,8g,8f#,8g.,16g,8p,f#,8f#,8e,8d,8e.,16g,8p,8b,8p,8b,8a,8g,8b.,16c6,8p,a.,p,8b.,16b,8p,a,8a,8g,8f#,8g.,16g,8p,f#,8f#,8e,8d,8e.,16g,8p,8b,8p,8b,8a,8g,8b.,16a,8p,g
Alles|Alles:d=16,o=5,b=100:g#,g#,g#,g#,8c.6,g#,8p,8a#,8p,g#,g#,g#,g#,g#,g#,8d#.,c6,8p,8a#,8p,g#,g#,g#,g#,g#,g#,8c.6,g#,8p,8a#,8p,g#,g#,g#,g#,g#,g#,8d#.,c6,8p,4a#.,g#,g#,g#,g#,8c.6,g#,8p,8a#,8p,g#,g#,g#,g#,g#,g#,8d#.,c6,8p,8a#,8p,g#,g#,g#,g#,g#,g#,8c.6,g#,8p,8a#,8p,g#,g#,g#,g#,g#,g#,8d#.,c6,8p,4a#.
AllEyesO|AllEyesO:d=4,o=5,b=90:16f6,16e6,8d6,16a#,16a,2f,p,8a,8a,16g,8a,p,8p,16f6,16e6,8d6,16a#,16a,2f,p,8a,8a,16g,8a
AllEyezO|AllEyezO:d=4,o=6,b=90:16f,16e,8d,16a_5,16a5,2f5,p,8a5,8a5,16g5,8a5,p,8p,16f,16e,8d,16a_5,16a5,2f5,p,8a5,8a5,16g5,8a5
AllForMe|AllForMe:d=4,o=6,b=112:16g.,16g.,16d.,8a.,16a.,2b.7,2a.,16g,16g,16g,16g,16g,16g,16g,8g.,16g#,16g#.7,16b#.,16g,16g,16g,16g,16g,16b.7,8a.,32b.7,32b.7,8g#.5,16g,16g,16g,16g,16g,16f,16f,16f,16a,16a,16a,16a,16f.,16f.,16a.,32d.,32f.,32g.,2d.,1d.5,1d.5,16p,8p,32p,1p,2p,16f.,16d.,32a.,32b.,32b.,16a.,2b.7,2b.5,2d.,2d.,2d.,2d.,32p,16p,8p,32d.,16a.,8b.,2g.,2g.,1p,1g.,16g,16g,16g,16g,16g,16g.,16g.,16g,16g,16g,16g,16g,16g.,16g.,16g.,8b.7,8b.7,8b.7,8b.7,8b.7,8a.7,8a.,16g,16g,16g,16g,16g,16g,16g.,16f.,16f.,6g.,16d.,16a.,16a.,2d.,2d.,2d.,2d.,2d.,2d.,2d.,2d.,16g,16g,16g,16g,16g,16g,16g,16g,16g,16g,16g,16g,16g,8b.7,8b.7,8b.7,8b.7,8b.7,16g,16g,16g,16g,32g,32g,32g,32g.,32f.,32g.7,8g#.,8g.,8g.,32f.,2f.,f.7,16g,16g,16g,16g,16g,16g,16g,16g,16g,16g,16g,16g,16f#.,16g,16g,16f.7,8f.
AllForYo|AllForYo:d=16,o=5,b=112:b6,b6,8b6,b6,b6,8b6,8g6,g6,g6,8g6,8g6,8d6,d6,d6,8d6,8d6,g6,g6,g6,d6,8d6,8d6,g,g,8d.6,8d6,d6,8e6,8d6,8p,g,g,g,g,8a,a,8a,a,8c6,8b.
AllForYo|AllForYo:d=2,o=6,b=285:32p,c#,a5,4c#,d,4b5,4b5,b5,b5,e,d,c#,4a5,4c#,e,4c#,4c#,b5,4b5,4b5,e,d,c#
AllGood|AllGood:d=16,o=5,b=125:d6,p,c6,p,b,a,b,c6,p,g,e,p,4p,d6,p,c6,p,b,a,b,c6,p,g,e
AllGood|AllGood:d=4,o=6,b=125:16c5,16p,8c5,16p,16c5,8p,16c5,8p,16c5,p,16d5,16p,8d5,16p,16d5,8p,16d5,8p,16d5,p,16d5,16p,8d5,16p,16d5,8p,8e5,8p,8d5,8p,16c5,16p,8c5,16p,16c5,8p,16c5
AllICanD|AllICanD:d=4,o=5,b=200:d#,f,g#,f,1c.6,1c.6,8a#,1g#,2p,p,8p,d#,f,g#,f,1c.6,1c.6,8a#,1g#.,1p,p,8p,1c.6,1c.6,8a#,1g#,p,8p,1c.,2c.6,1c6,c6,c6,c6,c6,c6,8a#,1g#.
AllIDo|AllIDo:d=4,o=6,b=100:g#5,b5,8d#.,16d#.,16d#.,16c#.,16b.5,8c#.,8b5,32p,8d#.,16e.,16f#.,8b.5,c#,32p,g#5,b5,d#.,16p,8d#,16e.,16f#.,8b.5,c#,16p,8e.,d#
AllIHave|AllIHave:d=16,o=5,b=125:8c6,8p,8c6,8p,8c6,8p,c6,p,8a,8c6,8p,c6,p,8a,c6,8p,p,4e.6,8p,4a,4p,8p,g,p,8f.6,p,8e6,8p,8d6,8p,1c.6,a,p,g,p,a,p,4g
AllIHave|AllIHave:d=16,o=6,b=90:8c#7,8g#,f,8g#,f,8g#,8a#,4g#,8d#,8c#,d#,8f,c#,8d#,c#,d#,4c#,f,8c#7,8g#,8f,p,f,8c#7,8g#,8f,p,f,8c#7,g#,g#,8c#7,g#,g#,8c#7,8g#,4f
AllIHave|AllIHave:d=4,o=5,b=125:16c6,16p,16c6,16p,16c6,16p,32c6,32p,16a,16c6,16p,32c6,32p,16a,32c6,16p,32p,8e.6,16p,8a,8p,16p,32g,32p,16f.6,32p,16e6,16p,16d6,16p,2c.6,32a,32p,32g,32p,32a,32p,8g
AllIHave|AllIHave:d=4,o=5,b=160:f.,p,8c,8c,8c,f,8f,8f,8p,8f,g,f.,p,8c,8c,8c,f,8f,8f,8p,8f,c6,g.,p,8f,8f,8f,a,8a#,8c6,p,8f,8f,d6,c6,c6,a,2g,c6,g,2f
AllIHave|AllIHave:d=4,o=5,b=160:f.6,p,8c6,8c6,8c6,f6,8f6,8f6,8p,8f6,g6,f.6,p,8c6,8c6,8c6,f6,8f6,8f6,8p,8f6,c7,g.6,p,8f6,8f6,8f6,a6,8a#6,8c7,p,8f6,8f6,d7,c7,c7,a6,2g6,c7,g6,2f6
AllIHave|AllIHave:d=4,o=5,b=90:8e,8c6,8g,16e,8g,8e,8a.,1g,8p,8e,8c6,8g,16e,8g,16e,8e,8d,1c,16p,8c6,8c6,8d6,16c6,8b,8a,1g,8p,8e,16c6,8g,16e,8g,16e,8e,8d,1c,8p
AllIHave|AllIHave:d=4,o=6,b=180:g,c7,b,8g,g,e,a.,1g,1p,p,g,c7,b,8g,g,8e,e,d,1c,1p,8p,8a,c7,c7,d7,8c7,c7,b,a,1g.,2p,p,8p,g,c7,b,8g,g,8e,e,d,1c,e,d,2c.
AllIHave|AllIHave:d=4,o=6,b=200:g,c7,8g,g,e,a,1g,1p,p,g,c7,b,8g,g,8e,e,d,1c,1p,8p,8a,c7,c7,d7,8c7,c7,b,a,1g,2p,p,8p,g,c7,b,8g,g,8e,e,d,1c,e,d,2c
AllIReal|AllIReal:d=4,o=5,b=125:8a,8g#,8f#,8e,8f#,8a4,8d,8f#,8e,8a4,8c#,b.4,p,8a,8g#,8f#,8e,8f#,8a4,8d,8f#,8e,8a4,8c#,c#,b.4,8b4,8c#,8d,8e,8f#,8a4,8d,8f#,8e,8a4,8c#,2b.4,p,8a4,8b4,8c#,8f#4,8a4,8c#,8e,8b4,8e,2f#.,8a,8g#,8f#,8e,8f#,8a4,8d,8f#,8e,8a4,8c#,b.4,p
AllIWann|AllIWann:d=32,o=5,b=35:c,d,f,g,16a.,c,g,16f,8f,d,f,f,16g,16f.,f,f,d#,16g,d#,16d#,c,d,f,g,16a.,c,g,16f,8f,d,16f,f,16g#,16g#,16g#,g#,g#,g,g,g,g,g,g,g,8f.
AllIWant|AllIWant:d=16,o=5,b=125:4a6,8a.6,8g6,p,4p,8g6,f6,8g6,8g6,8a6,8d6,8f6,8g6,4a6,8a.6,8g6,p,4p,f6,8g6,f6,8g6,8g6,8a6,8d6,8f6,8g6,4a6,8a.6,8g6,g6,g6,8g6,g6,g6,8g6,g6,8g6,8g6,8a6,8d6,8a,8a,4a,8f.6,8e.6,4p,4e6,8e.6,4d6
AllIWant|AllIWant:d=16,o=5,b=140:2c,2e,2g,4b,p,2c6,8p,p,2b,4a,p,2g,8p,p,2d6,2c6,2c6,2b,4c6,p,2b,8p,p,4a,2g,4p,2f,2a,2c6,2d6,2e6,4d6,2c6,2a,4p,2f,4g#,2c6,4p,2d6,4d#6,2d6,4p,4a#,1g#
AllIWant|AllIWant:d=2,o=5,b=400:a.,g,4p,f.,e,f.,4e,p.,4d,p,c.,g.,4f,p,f.,e,f,4p,4e,p,4d,p,c.,1p,a#,4a,a,4g,p,a,4p,4d6,p,4g,p,f.,4p,a#.,c#6,g,4p,4f,p,g.,4f,p,c#.,4c,4c,4d,4e,f
AllIWant|AllIWant:d=4,o=5,b=125:a6,8a.6,8g6,16p,p,8g6,16f6,8g6,8g6,8a6,8d6,8f6,8g6,a6,8a.6,8g6,16p,p,16f6,8g6,16f6,8g6,8g6,8a6,8d6,8f6,8g6,a6,8a.6,8g6,16g6,16g6,8g6,16g6,16g6,8g6,16g6,8g6,8g6,8a6,8d6,8a,8a,a,8f.6,8e.6,p,e6,8e.6,d6
AllIWant|AllIWant:d=4,o=5,b=125:c6,8c6,8p,8c6,8p,8c6,8c6,b,8c6,8p,c.6,16p,8g,e6,d6,c.6,8p,e6,f6,e6,8d6,8p,c6,8c6,8p,8c6,8p,8c6,8c6,b,8c6,8p,c.6,16p,8g,e6,d6,c.6,8p,e6,8f.6,e6,8d6,p,d6,8e6,1c6
AllIWant|AllIWant:d=4,o=5,b=125:c6,8c6,8p,8c6,8p,8c6,8c6,b,8c6,8p,c.6,8p,8g,e6,d6,2c6,e6,f6,e6,8d6,8p,c6,8c6,8p,8c6,8p,8c6,8c6,b,8c6,8p,c.6,8p,8g,e6,d6,c.6,8p,e.6,8f.6,e6,8d6,p,d6,8e6,1c6
AllIWant|AllIWant:d=4,o=6,b=140:c,e,g,8b,32p,c7,16p.,b,8a,32p,g,16p.,d7,c7,c7,b,8c7,32p,b,16p.,8a,g,8p,f,a,c7,d7,e7,8d7,c7,a,8p,f,8g#,c7,8p,d7,8d#7,d7,8p,8a#,2g#
AllIWant|AllIWant:d=4,o=6,b=160:c5,e5,g5,8b5,c,b.5,8a5,g.5,d,c,8c,b5,c,b5,8a5,2g5,a5,c,8d,e,d,c,a.5,f5,8g#5,c.,8d,d#,d,a#5,g#.5,c,d,b5,8c,a5,b5,2g#5,c,d,b5,8c,a5,b5,2g#5,g5,a5,8c,g,f,8g,2f,e,d,c,a5,g#5,2d,e,8d.,2c.
